Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1600
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:902            0.0.0.0:0              LISTENING       6520
  TCP    0.0.0.0:912            0.0.0.0:0              LISTENING       6520
  TCP    0.0.0.0:1158           0.0.0.0:0              LISTENING       9956
  TCP    0.0.0.0:1521           0.0.0.0:0              LISTENING       5632
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       2616
  TCP    0.0.0.0:5520           0.0.0.0:0              LISTENING       9956
  TCP    0.0.0.0:5560           0.0.0.0:0              LISTENING       6196
  TCP    0.0.0.0:5580           0.0.0.0:0              LISTENING       6196
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       16132
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       4596
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1296
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1124
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2200
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3364
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4512
  TCP    0.0.0.0:49675          0.0.0.0:0              LISTENING       1268
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       5448
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       4596
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING       4560
  TCP    127.0.0.1:49670        0.0.0.0:0              LISTENING       5632
  TCP    127.0.0.1:49984        0.0.0.0:0              LISTENING       4596
  TCP    127.0.0.1:49984        127.0.0.1:49991        ESTABLISHED     4596
  TCP    127.0.0.1:49986        0.0.0.0:0              LISTENING       4596
  TCP    127.0.0.1:49986        127.0.0.1:49990        ESTABLISHED     4596
  TCP    127.0.0.1:49990        127.0.0.1:49986        ESTABLISHED     2400
  TCP    127.0.0.1:49991        127.0.0.1:49984        ESTABLISHED     2400
  TCP    192.168.16.139:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.16.139:2493    64.233.170.188:5228    ESTABLISHED     13900
  TCP    192.168.16.139:2498    4.213.25.241:443       ESTABLISHED     3432
  TCP    192.168.16.139:2518    163.70.143.60:5222     ESTABLISHED     13900
  TCP    192.168.16.139:2521    172.64.148.235:443     ESTABLISHED     13900
  TCP    192.168.16.139:2527    155.133.224.23:443     ESTABLISHED     4596
  TCP    192.168.16.139:2531    35.230.116.55:7500     ESTABLISHED     4560
  TCP    192.168.16.139:2694    145.190.36.0:443       ESTABLISHED     4872
  TCP    192.168.16.139:19677   34.98.110.65:443       LAST_ACK        4560
  TCP    192.168.16.139:35716   4.224.116.131:443      ESTABLISHED     11768
  TCP    192.168.16.139:35719   172.64.155.209:443     ESTABLISHED     13900
  TCP    192.168.16.139:35722   172.64.155.209:443     ESTABLISHED     13900
  TCP    192.168.16.139:35730   185.199.109.133:443    ESTABLISHED     13900
  TCP    192.168.16.139:35736   103.17.159.178:443     ESTABLISHED     4560
  TCP    192.168.16.139:35737   34.98.110.65:443       ESTABLISHED     4560
  TCP    192.168.16.139:35738   35.186.243.246:443     TIME_WAIT       0
  TCP    192.168.16.139:38428   34.98.110.65:443       CLOSE_WAIT      4560
  TCP    192.168.16.139:38441   140.82.113.26:443      ESTABLISHED     13900
  TCP    192.168.16.139:38461   34.107.243.93:443      CLOSE_WAIT      5656
